customer_id,full_name,gender,age,city,state,pincode,phone,segment,acquisition_channel,join_date,app_user,email_opt_in,lifetime_orders,nps_score,tenure_years,age_band,nps_category
CUST000001,Riya Shukla,Female,35,Bengaluru,Karnataka,705549,9083016613,Returning,Word of Mouth,2020-10-27,Non-App User,Opted In,2,10,4.4,26-35,Promoter (9-10)
CUST000002,Aakash Shah,Male,30,Delhi,Delhi,424423,9824628194,Returning,Organic Search,2021-08-27,App User,Opted In,1,10,3.6,26-35,Promoter (9-10)
CUST000003,Dinesh Tiwari,Male,29,Delhi,Delhi,564704,9797543231,Returning,Word of Mouth,2023-03-14,Non-App User,Opted In,3,10,2.0,26-35,Promoter (9-10)
CUST000004,Varun Shetty,Male,25,Bengaluru,Karnataka,579336,9276018955,Returning,Word of Mouth,2024-08-29,Non-App User,Opted In,1,8,0.6,18-25,Passive (7-8)
CUST000005,Kavya Yadav,Female,29,Pune,Maharashtra,757165,9746507529,New,Organic Search,2024-05-07,Non-App User,Opted In,2,8,0.9,26-35,Passive (7-8)
CUST000006,Pallavi Iyer,Female,45,Kolkata,West Bengal,610578,9842684656,New,Organic Search,2022-12-07,App User,Opted In,1,8,2.3,36-45,Passive (7-8)
CUST000007,Yash Ghosh,Male,26,Bengaluru,Karnataka,696926,9528907866,New,Organic Search,2021-03-26,Non-App User,Opted In,1,6,4.0,26-35,Detractor (0-6)
CUST000008,Payal Das,Female,38,Bengaluru,Karnataka,400123,9928159013,Returning,Organic Search,2020-12-27,App User,Opted In,3,9,4.3,36-45,Promoter (9-10)
CUST000009,Sunita Iyer,Female,26,Chennai,Tamil Nadu,475560,9154728038,Loyal,Amazon,2023-01-11,Non-App User,Opted Out,10,6,2.2,26-35,Detractor (0-6)
CUST000010,Yash Rao,Male,34,Mumbai,Maharashtra,586488,9388853933,New,Organic Search,2021-05-09,App User,Opted In,1,7,3.9,26-35,Passive (7-8)
CUST000011,Bhavna Bhat,Female,21,Bengaluru,Karnataka,583249,9513137353,Returning,Email,2022-05-07,App User,Opted In,3,6,2.9,18-25,Detractor (0-6)
CUST000012,Rohit Kumar,Male,40,Bengaluru,Karnataka,793290,9372651676,Returning,Organic Search,2024-05-28,App User,Opted In,4,7,0.8,36-45,Passive (7-8)
CUST000013,Gaurav Srivastava,Male,40,Delhi,Delhi,411219,9018263304,Returning,Word of Mouth,2022-05-19,Non-App User,Opted In,5,9,2.9,36-45,Promoter (9-10)
CUST000014,Amit Menon,Male,43,Bengaluru,Karnataka,747328,9986828288,Loyal,Google Ads,2022-12-26,App User,Opted Out,5,7,2.3,36-45,Passive (7-8)
CUST000015,Deepika Menon,Female,29,Pune,Maharashtra,691212,9718033401,New,Word of Mouth,2020-10-05,Non-App User,Opted Out,4,7,4.5,26-35,Passive (7-8)
CUST000016,Manish Menon,Male,43,Delhi,Delhi,545326,9788783848,Returning,Organic Search,2024-04-19,App User,Opted In,1,7,0.9,36-45,Passive (7-8)
CUST000017,Nisha Rao,Female,38,Bengaluru,Karnataka,775454,9524273167,New,Organic Search,2021-02-06,App User,Opted In,3,8,4.1,36-45,Passive (7-8)
CUST000018,Deepika Patel,Female,30,Mumbai,Maharashtra,577199,9877065894,Returning,Organic Search,2020-07-10,Non-App User,Opted In,1,6,4.7,26-35,Detractor (0-6)
CUST000019,Tanvi Gupta,Female,34,Bengaluru,Karnataka,845429,9462889751,Loyal,Google Ads,2021-12-06,App User,Opted Out,9,6,3.3,26-35,Detractor (0-6)
CUST000020,Karan Singh,Male,21,Chennai,Tamil Nadu,434930,9417058649,New,Word of Mouth,2021-08-30,App User,Opted In,2,7,3.6,18-25,Passive (7-8)
CUST000021,Deepika Shukla,Female,28,Bengaluru,Karnataka,633669,9824504000,New,Email,2022-02-15,App User,Opted In,4,5,3.1,26-35,Detractor (0-6)
CUST000022,Varun Gupta,Male,32,Pune,Maharashtra,837579,9684335326,Returning,Google Ads,2023-06-24,App User,Opted In,3,9,1.8,26-35,Promoter (9-10)
CUST000023,Sunita Agarwal,Female,30,Bengaluru,Karnataka,526990,9407224704,Loyal,Email,2023-04-03,App User,Opted In,10,7,2.0,26-35,Passive (7-8)
